Layer: model.layers.28.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.28.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.28.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.29.self_attn.q_proj                   | Rank: 898/960
Layer: model.layers.29.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.29.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.29.self_attn.o_proj                   | Rank: 930/960
Layer: model.layers.29.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.29.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.29.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.30.self_attn.q_proj                   | Rank: 912/960
Layer: model.layers.30.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.30.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.30.self_attn.o_proj                   | Rank: 938/960
Layer: model.layers.30.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.30.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.30.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.31.self_attn.q_proj                   | Rank: 914/960
Layer: model.layers.31.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.31.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.31.self_attn.o_proj                   | Rank: 929/960
Layer: model.layers.31.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.31.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.31.mlp.down_proj                      | Rank: 960/960
Layer: lm_head                                            | Rank: 959/960
